chembl_id,primary_drug,tox_herg_ic50_uM,tox_herg_risk,tox_cyp3a4_inhib,tox_cyp2d6_inhib,tox_cyp1a2_inhib,tox_cyp_risk,tox_ames,tox_ames_risk,tox_dili_risk,tox_bbb_perm,black_box_warning,hepatotoxicity,nephrotoxicity,cardiotoxicity,bioactivity_count,tox_data_sources,data_source,created_at,last_updated
CHEMBL30269,ChEMBL_CHEMBL30269,,medium,,,,medium,,medium,low,,False,False,False,False,0,[],chembl_bioactivity,2025-09-05 06:28:14.989676,2025-09-05 06:28:14.989676
CHEMBL31137,ChEMBL_CHEMBL31137,,high,,,,medium,,medium,medium,,False,False,False,True,0,[],chembl_bioactivity,2025-09-05 06:28:14.989700,2025-09-05 06:28:14.989701
CHEMBL285824,ChEMBL_CHEMBL285824,,high,,,,medium,,medium,medium,,False,False,False,True,0,[],chembl_bioactivity,2025-09-05 06:28:14.989729,2025-09-05 06:28:14.989729
CHEMBL30443,ChEMBL_CHEMBL30443,,high,,,,medium,,low,medium,,False,False,False,True,0,[],chembl_bioactivity,2025-09-05 06:28:14.989758,2025-09-05 06:28:14.989758
CHEMBL31146,ChEMBL_CHEMBL31146,,high,,,,high,,medium,high,,False,True,False,True,0,[],chembl_bioactivity,2025-09-05 06:28:14.989785,2025-09-05 06:28:14.989785
CHEMBL286978,ChEMBL_CHEMBL286978,,high,,,,high,,medium,high,,False,True,False,True,0,[],chembl_bioactivity,2025-09-05 06:28:14.989813,2025-09-05 06:28:14.989813
CHEMBL416395,ChEMBL_CHEMBL416395,,high,,,,high,,medium,high,,False,True,False,True,0,[],chembl_bioactivity,2025-09-05 06:28:14.989840,2025-09-05 06:28:14.989840
CHEMBL30319,ChEMBL_CHEMBL30319,,medium,,,,medium,,low,low,,False,False,False,False,0,[],chembl_bioactivity,2025-09-05 06:28:14.989865,2025-09-05 06:28:14.989865
CHEMBL30616,ChEMBL_CHEMBL30616,,high,,,,medium,,medium,medium,,False,False,False,True,0,[],chembl_bioactivity,2025-09-05 06:28:14.989896,2025-09-05 06:28:14.989897
CHEMBL31153,ChEMBL_CHEMBL31153,,high,,,,medium,,low,medium,,False,False,False,True,0,[],chembl_bioactivity,2025-09-05 06:28:14.989925,2025-09-05 06:28:14.989925
CHEMBL31043,ChEMBL_CHEMBL31043,,high,,,,high,,medium,medium,,False,False,False,True,0,[],chembl_bioactivity,2025-09-05 06:28:14.989950,2025-09-05 06:28:14.989950
CHEMBL281518,ChEMBL_CHEMBL281518,,low,,,,low,,medium,low,,False,False,False,False,0,[],chembl_bioactivity,2025-09-05 06:28:14.989976,2025-09-05 06:28:14.989976
CHEMBL30902,ChEMBL_CHEMBL30902,,low,,,,low,,low,low,,False,False,False,False,0,[],chembl_bioactivity,2025-09-05 06:28:14.990002,2025-09-05 06:28:14.990002
CHEMBL283501,ChEMBL_CHEMBL283501,,low,,,,low,,low,low,,False,False,False,False,0,[],chembl_bioactivity,2025-09-05 06:28:14.990030,2025-09-05 06:28:14.990030
CHEMBL30735,ChEMBL_CHEMBL30735,,high,,,,high,,low,medium,,False,False,False,True,0,[],chembl_bioactivity,2025-09-05 06:28:14.990059,2025-09-05 06:28:14.990059
CHEMBL32237,ChEMBL_CHEMBL32237,,high,,,,high,,medium,medium,,False,False,False,True,0,[],chembl_bioactivity,2025-09-05 06:28:14.990090,2025-09-05 06:28:14.990090
CHEMBL30662,ChEMBL_CHEMBL30662,,low,,,,low,,low,low,,False,False,False,False,0,[],chembl_bioactivity,2025-09-05 06:28:14.990119,2025-09-05 06:28:14.990119
CHEMBL286707,ChEMBL_CHEMBL286707,,high,,,,high,,low,medium,,False,False,False,True,0,[],chembl_bioactivity,2025-09-05 06:28:14.990155,2025-09-05 06:28:14.990155
CHEMBL440101,ChEMBL_CHEMBL440101,,high,,,,medium,,low,medium,,False,False,False,True,0,[],chembl_bioactivity,2025-09-05 06:28:14.990183,2025-09-05 06:28:14.990183
CHEMBL30905,ChEMBL_CHEMBL30905,,low,,,,low,,low,low,,False,False,False,False,0,[],chembl_bioactivity,2025-09-05 06:28:14.990209,2025-09-05 06:28:14.990209
CHEMBL29827,ChEMBL_CHEMBL29827,,high,,,,high,,low,medium,,False,False,False,True,0,[],chembl_bioactivity,2025-09-05 06:28:14.990234,2025-09-05 06:28:14.990235
CHEMBL418583,ChEMBL_CHEMBL418583,,high,,,,high,,medium,medium,,False,False,False,True,0,[],chembl_bioactivity,2025-09-05 06:28:14.990261,2025-09-05 06:28:14.990261
CHEMBL287203,ChEMBL_CHEMBL287203,,low,,,,low,,low,low,,False,False,False,False,0,[],chembl_bioactivity,2025-09-05 06:28:14.990287,2025-09-05 06:28:14.990287
CHEMBL286024,ChEMBL_CHEMBL286024,,low,,,,low,,low,low,,False,False,False,False,0,[],chembl_bioactivity,2025-09-05 06:28:14.990312,2025-09-05 06:28:14.990312
CHEMBL283819,ChEMBL_CHEMBL283819,,low,,,,low,,low,low,,False,False,False,False,0,[],chembl_bioactivity,2025-09-05 06:28:14.990337,2025-09-05 06:28:14.990337
CHEMBL771,CYCLOSERINE,,low,,,,low,,low,low,,False,False,False,False,0,[],chembl_bioactivity,2025-09-05 06:28:14.990363,2025-09-05 06:28:14.990364
CHEMBL31339,ChEMBL_CHEMBL31339,,high,,,,medium,,low,medium,,False,False,False,True,0,[],chembl_bioactivity,2025-09-05 06:28:14.990389,2025-09-05 06:28:14.990389
